Date,Open,High,Low,Close,Adj Close,Volume
5/3/2006,1489.540039,1499.071045,1483.491943,1499.071045,1499.026489,30130100
5/4/2006,1501.510986,1501.849976,1479.478027,1484.332031,1484.287964,28674400
5/5/2006,1485.708008,1486.052002,1468.869019,1483.061035,1483.016968,14342400
5/8/2006,1492.802002,1507.926025,1488.56604,1507.926025,1507.881226,20932900
5/9/2006,1516.167969,1538.245972,1516.167969,1532.624023,1532.578491,3849500
5/10/2006,1538.105957,1542.609009,1524.222046,1539.401001,1539.355347,27661800
5/11/2006,1538.141968,1553.488037,1536.911987,1553.062012,1553.015991,30841500
5/12/2006,1530.432007,1541.598022,1521.031006,1525.780029,1525.734741,26946400
5/15/2006,1497.031982,1497.031982,1427.050049,1429.541992,1429.499634,35249800
5/16/2006,1427.395996,1437.064941,1339.233032,1427.813965,1427.771606,39889800
5/17/2006,1460.011963,1484.118042,1458.552002,1462.157959,1462.114502,1014000
5/18/2006,1386.917969,1416.110962,1375.06897,1400.847046,1400.80542,21824700
5/19/2006,1394.916016,1411.735962,1389.57605,1392.98999,1392.94873,15021200
5/22/2006,1395.96106,1397.417969,1304.344971,1309.045044,1309.006226,30850500
5/23/2006,1280.323975,1327.495972,1272.255981,1326.26001,1326.220703,26076800
5/24/2006,1339.357056,1339.357056,1311.928955,1323.146973,1323.107666,21103400
5/29/2006,1342.369019,1354.43103,1326.802002,1333.884033,1333.844482,16004600
5/30/2006,1335.605957,1370.555054,1335.605957,1366.170044,1366.129517,11571600
5/31/2006,1327.857056,1343.619019,1326.212036,1329.995972,1329.956421,14749000
6/1/2006,1340.172974,1346.119995,1311.370972,1321.560059,1321.520752,8660500
6/2/2006,1329.655029,1347.686035,1316.149048,1347.686035,1347.646118,8442400
6/5/2006,1350.470947,1359.530029,1342.89502,1349.037964,1348.997925,8544500
6/6/2006,1324.520996,1328.170044,1305.667969,1316.944946,1316.905884,8478100
6/7/2006,1303.883057,1303.883057,1282.078979,1287.177979,1287.139771,8574800
6/8/2006,1262.378052,1265.713989,1229.953979,1241.32605,1241.289185,13793000
6/9/2006,1252.840942,1274.753052,1243.489014,1274.753052,1274.71521,14270000
6/12/2006,1261.39502,1273.109985,1258.571045,1273.109985,1273.072144,5316100
6/13/2006,1246.807007,1256.177979,1232.176025,1236.567993,1236.53125,14586000
6/14/2006,1234.647949,1239.28894,1222.276001,1234.197998,1234.161377,10431500
6/15/2006,1255.946045,1259.688965,1236.428955,1241.650024,1241.613159,9690600
6/16/2006,1276.517944,1309.525024,1271.550049,1309.525024,1309.486206,14117800
6/19/2006,1295.069946,1300.859985,1286.399048,1295.051025,1295.012573,7110600
6/20/2006,1277.730957,1295.110962,1277.015991,1294.969971,1294.931519,6875600
6/21/2006,1297.801025,1301.171997,1287.920044,1293.286987,1293.248535,3733400
6/22/2006,1313.68103,1313.68103,1298.46106,1303.449951,1303.411255,7118700
6/23/2006,1285.140015,1290.16394,1283.234009,1290.16394,1290.125732,4169600
6/26/2006,1289.05603,1290.165039,1276.426025,1283.853027,1283.814819,4867700
6/27/2006,1286.552002,1292.312012,1281.595947,1285.626953,1285.588745,7556900
6/28/2006,1271.302979,1277.758057,1266.30896,1272.052979,1272.015259,5183500
6/29/2006,1276.020996,1279.123047,1271.392944,1274.744019,1274.706177,7228600
6/30/2006,1311.186035,1311.616943,1301.704956,1310.262939,1310.224121,14451500
7/3/2006,1310.578979,1327.755005,1308.854004,1327.755005,1327.715576,9235000
7/4/2006,1338.292969,1341.368042,1333.008057,1337.868042,1337.828369,8945500
7/5/2006,1334.235962,1345.642944,1333.359009,1338.322998,1338.283325,8529800
7/6/2006,1327.671021,1340.020996,1318.161011,1340.020996,1339.981201,11164400
7/7/2006,1347.213989,1350.715942,1340.911987,1347.905029,1347.865112,11219300
7/10/2006,1338.613037,1351.293945,1335.718994,1339.829956,1339.790161,6294900
7/11/2006,1339.875,1349.277954,1339.840942,1343.944946,1343.905029,6780800
7/12/2006,1348.160034,1355.185059,1341.520996,1345.866943,1345.827026,5011500
7/13/2006,1343.401978,1349.873047,1330.009033,1334.029053,1333.989502,11399700
7/14/2006,1303.719971,1317.019043,1298.159058,1303.584961,1303.546265,7177400
